scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S1,0,0,913544046,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T10:19:00Z
S1,0,1,68344610,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T10:19:15Z
S1,0,2,205210819,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T10:19:30Z
S1,1,0,1915168523,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T10:19:45Z
S1,1,1,1105300121,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T10:20:00Z
S1,1,2,1345625016,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T10:20:30Z
S1,2,0,1491760006,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,,,,False,False,2026-06-06T10:20:45Z
S1,2,1,546635023,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-20.0,-0.3,1500.0,True,False,2026-06-06T10:21:00Z
S1,2,2,714902369,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-20.0,-0.2,1500.0,True,False,2026-06-06T10:21:15Z
S1,3,0,474144144,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.1,1500.0,True,False,2026-06-06T10:21:30Z
S1,3,1,1226819330,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.5,1500.0,True,False,2026-06-06T10:22:00Z
S1,3,2,1182452760,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.4,1500.0,True,False,2026-06-06T10:22:15Z
S1,4,0,184630235,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,-14.0,-0.3,1500.0,True,False,2026-06-06T10:22:30Z
S1,4,1,792672454,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,-14.0,-0.2,1500.0,True,False,2026-06-06T10:22:45Z
S1,4,2,2116022063,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,-14.0,-0.1,1500.0,True,False,2026-06-06T10:23:00Z
S1,5,0,528655056,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,-11.0,-0.5,1500.0,True,False,2026-06-06T10:23:30Z
S1,5,1,108725431,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,-11.0,-0.4,1500.0,True,False,2026-06-06T10:23:45Z
S1,5,2,2006277236,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,-11.0,-0.3,1501.0,True,False,2026-06-06T10:24:00Z
S1,6,0,147152921,WSJT-X,CQ Q1ABC FN42,-6,0.2,1500,-8.0,-0.2,1500.0,True,False,2026-06-06T10:24:15Z
S1,6,1,1953053430,WSJT-X,CQ Q1ABC FN42,-6,0.2,1500,-8.0,-0.1,1500.0,True,False,2026-06-06T10:24:30Z
S1,6,2,147567551,WSJT-X,CQ Q1ABC FN42,-6,0.2,1500,-8.0,-0.5,1500.0,True,False,2026-06-06T10:25:00Z
S1,7,0,1402667823,WSJT-X,CQ Q1ABC FN42,-3,0.2,1500,-4.0,-0.4,1500.0,True,False,2026-06-06T10:25:15Z
S1,7,1,1425587327,WSJT-X,CQ Q1ABC FN42,-3,0.2,1500,-5.0,-0.3,1500.0,True,False,2026-06-06T10:25:30Z
S1,7,2,718289455,WSJT-X,CQ Q1ABC FN42,-3,0.2,1500,-5.0,-0.2,1500.0,True,False,2026-06-06T10:25:45Z
S1,8,0,1206520285,WSJT-X,CQ Q1ABC FN42,0,0.2,1500,-1.0,-0.1,1500.0,True,False,2026-06-06T10:26:00Z
S1,8,1,1462033172,WSJT-X,CQ Q1ABC FN42,0,0.2,1500,-1.0,-0.5,1500.0,True,False,2026-06-06T10:26:30Z
S1,8,2,1537966073,WSJT-X,CQ Q1ABC FN42,0,0.2,1500,-1.0,-0.4,1500.0,True,False,2026-06-06T10:26:45Z
S1,9,0,758409719,WSJT-X,CQ Q1ABC FN42,3,0.2,1500,2.0,-0.3,1500.0,True,False,2026-06-06T10:27:00Z
S1,9,1,1723470335,WSJT-X,CQ Q1ABC FN42,3,0.2,1500,2.0,-0.2,1500.0,True,False,2026-06-06T10:27:15Z
S1,9,2,1581091521,WSJT-X,CQ Q1ABC FN42,3,0.2,1500,2.0,-0.1,1500.0,True,False,2026-06-06T10:27:30Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.5,300.0,False,True,2026-06-06T10:29:30Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.4,300.0,False,True,2026-06-06T10:29:45Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.3,300.0,False,True,2026-06-06T10:30:00Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.2,567.0,False,True,2026-06-06T10:30:15Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.1,567.0,False,True,2026-06-06T10:30:30Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.5,567.0,False,True,2026-06-06T10:31:00Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-2.0,-0.4,834.0,False,True,2026-06-06T10:31:15Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-2.0,-0.3,834.0,False,True,2026-06-06T10:31:30Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-2.0,-0.2,834.0,False,True,2026-06-06T10:31:45Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-2.0,-0.1,1101.0,False,True,2026-06-06T10:32:00Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.5,1101.0,False,True,2026-06-06T10:32:30Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.4,1101.0,False,True,2026-06-06T10:32:45Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.3,1368.0,False,True,2026-06-06T10:33:00Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.2,1368.0,False,True,2026-06-06T10:33:15Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.1,1368.0,False,True,2026-06-06T10:33:30Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.5,1635.0,False,True,2026-06-06T10:34:00Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.4,1635.0,False,True,2026-06-06T10:34:15Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.3,1635.0,False,True,2026-06-06T10:34:30Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.2,1902.0,False,True,2026-06-06T10:34:45Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.1,1902.0,False,True,2026-06-06T10:35:00Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.5,1902.0,False,True,2026-06-06T10:35:30Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.4,2169.0,False,True,2026-06-06T10:35:45Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.3,2169.0,False,True,2026-06-06T10:36:00Z
S1,,,,WSJT-X,CQ Q1ABC FN42,,,,-1.0,-0.2,2169.0,False,True,2026-06-06T10:36:15Z
