scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S1,0,0,913544046,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T18:56:15Z
S1,0,1,68344610,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T18:56:30Z
S1,0,2,205210819,WSJT-X,CQ Q1ABC FN42,-24,0.2,1500,,,,False,False,2026-06-06T18:56:45Z
S1,1,0,1915168523,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T18:57:00Z
S1,1,1,1105300121,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T18:57:15Z
S1,1,2,1345625016,WSJT-X,CQ Q1ABC FN42,-21,0.2,1500,,,,False,False,2026-06-06T18:57:45Z
S1,2,0,1491760006,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-20.0,-0.4,1501.0,True,False,2026-06-06T18:58:00Z
S1,2,1,546635023,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,-20.0,-0.3,1500.0,True,False,2026-06-06T18:58:15Z
S1,2,2,714902369,WSJT-X,CQ Q1ABC FN42,-18,0.2,1500,,,,False,False,2026-06-06T18:58:30Z
S1,3,0,474144144,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.1,1500.0,True,False,2026-06-06T18:58:45Z
S1,3,1,1226819330,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,0.0,1500.0,True,False,2026-06-06T18:59:00Z
S1,3,2,1182452760,WSJT-X,CQ Q1ABC FN42,-15,0.2,1500,-17.0,-0.5,1500.0,True,False,2026-06-06T18:59:30Z
S1,4,0,184630235,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,-14.0,-0.4,1500.0,True,False,2026-06-06T18:59:45Z
S1,4,1,792672454,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,-14.0,-0.3,1500.0,True,False,2026-06-06T19:00:00Z
S1,4,2,2116022063,WSJT-X,CQ Q1ABC FN42,-12,0.2,1500,-14.0,-0.2,1500.0,True,False,2026-06-06T19:00:15Z
S1,5,0,528655056,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,-11.0,-0.1,1500.0,True,False,2026-06-06T19:00:30Z
S1,5,1,108725431,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,-11.0,-0.5,1500.0,True,False,2026-06-06T19:01:00Z
S1,5,2,2006277236,WSJT-X,CQ Q1ABC FN42,-9,0.2,1500,-11.0,-0.4,1501.0,True,False,2026-06-06T19:01:15Z
S1,6,0,147152921,WSJT-X,CQ Q1ABC FN42,-6,0.2,1500,-8.0,-0.3,1500.0,True,False,2026-06-06T19:01:30Z
S1,6,1,1953053430,WSJT-X,CQ Q1ABC FN42,-6,0.2,1500,-8.0,-0.2,1500.0,True,False,2026-06-06T19:01:45Z
S1,6,2,147567551,WSJT-X,CQ Q1ABC FN42,-6,0.2,1500,-8.0,-0.1,1500.0,True,False,2026-06-06T19:02:00Z
S1,7,0,1402667823,WSJT-X,CQ Q1ABC FN42,-3,0.2,1500,-4.0,-0.5,1500.0,True,False,2026-06-06T19:02:30Z
S1,7,1,1425587327,WSJT-X,CQ Q1ABC FN42,-3,0.2,1500,-4.0,-0.4,1500.0,True,False,2026-06-06T19:02:45Z
S1,7,2,718289455,WSJT-X,CQ Q1ABC FN42,-3,0.2,1500,-5.0,-0.3,1500.0,True,False,2026-06-06T19:03:00Z
S1,8,0,1206520285,WSJT-X,CQ Q1ABC FN42,0,0.2,1500,-1.0,-0.2,1500.0,True,False,2026-06-06T19:03:15Z
S1,8,1,1462033172,WSJT-X,CQ Q1ABC FN42,0,0.2,1500,-1.0,-0.1,1500.0,True,False,2026-06-06T19:03:30Z
S1,8,2,1537966073,WSJT-X,CQ Q1ABC FN42,0,0.2,1500,-1.0,0.0,1500.0,True,False,2026-06-06T19:03:45Z
S1,9,0,758409719,WSJT-X,CQ Q1ABC FN42,3,0.2,1500,2.0,-0.5,1500.0,True,False,2026-06-06T19:04:15Z
