scenario_id,part_index,trial_index,seed,appraiser,message_text,true_snr_db,true_dt_s,true_freq_hz,reported_snr_db,reported_dt_s,reported_freq_hz,matched,false_positive,cycle_utc
S7,0,0,1928618341,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-6.0,-0.7,1500.0,True,False,2026-06-06T21:24:45Z
S7,0,0,1928618341,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,-1.0,-0.7,1501.0,True,False,2026-06-06T21:24:45Z
S7,0,1,1519748887,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:25:00Z
S7,0,1,1519748887,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,0.0,-0.5,1500.0,True,False,2026-06-06T21:25:00Z
S7,0,2,1888808097,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:25:15Z
S7,0,2,1888808097,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,0.0,-0.4,1500.0,True,False,2026-06-06T21:25:15Z
S7,1,0,1163046826,WSJT-X,CQ Q1ABC FN42,-5.0,0.0,1500.0,-3.0,-0.3,1500.0,True,False,2026-06-06T21:25:30Z
S7,1,0,1163046826,WSJT-X,Q4XYZ Q1ABC -07,-5.0,0.0,1500.0,,,,False,False,2026-06-06T21:25:30Z
S7,1,1,641673168,WSJT-X,CQ Q1ABC FN42,-5.0,0.0,1500.0,-8.0,-0.7,1501.0,True,False,2026-06-06T21:26:00Z
S7,1,1,641673168,WSJT-X,Q4XYZ Q1ABC -07,-5.0,0.0,1500.0,-3.0,-0.7,1499.0,True,False,2026-06-06T21:26:00Z
S7,1,2,1425528308,WSJT-X,CQ Q1ABC FN42,-5.0,0.0,1500.0,,,,False,False,2026-06-06T21:26:15Z
S7,1,2,1425528308,WSJT-X,Q4XYZ Q1ABC -07,-5.0,0.0,1500.0,-3.0,-0.5,1500.0,True,False,2026-06-06T21:26:15Z
S7,2,0,98455044,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:26:30Z
S7,2,0,98455044,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:26:30Z
S7,2,0,98455044,WSJT-X,Q3PQR Q1ABC RR73,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:26:30Z
S7,2,1,1384128433,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:26:45Z
S7,2,1,1384128433,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:26:45Z
S7,2,1,1384128433,WSJT-X,Q3PQR Q1ABC RR73,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:26:45Z
S7,2,2,1361330484,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:27:15Z
S7,2,2,1361330484,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:27:15Z
S7,2,2,1361330484,WSJT-X,Q3PQR Q1ABC RR73,0.0,0.0,1500.0,,,,False,False,2026-06-06T21:27:15Z
S7,3,0,763598906,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-6.0,-0.5,1501.0,True,False,2026-06-06T21:27:30Z
S7,3,0,763598906,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1503.0,-2.0,-0.5,1502.0,True,False,2026-06-06T21:27:30Z
S7,3,1,1480126732,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-6.0,-0.4,1500.0,True,False,2026-06-06T21:27:45Z
S7,3,1,1480126732,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1503.0,-2.0,-0.4,1502.0,True,False,2026-06-06T21:27:45Z
S7,3,2,348040279,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-4.0,-0.3,1500.0,True,False,2026-06-06T21:28:00Z
S7,3,2,348040279,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1503.0,-4.0,-0.3,1504.0,True,False,2026-06-06T21:28:00Z
S7,4,0,139254338,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-4.0,-0.7,1499.0,True,False,2026-06-06T21:28:30Z
S7,4,0,139254338,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1506.0,-3.0,-0.7,1505.0,True,False,2026-06-06T21:28:30Z
S7,4,1,1221387494,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-3.0,-0.5,1501.0,True,False,2026-06-06T21:28:45Z
S7,4,1,1221387494,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1506.0,-4.0,-0.5,1504.0,True,False,2026-06-06T21:28:45Z
S7,4,2,1203773898,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-4.0,-0.4,1500.0,True,False,2026-06-06T21:29:00Z
S7,4,2,1203773898,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1506.0,-3.0,-0.4,1505.0,True,False,2026-06-06T21:29:00Z
S7,5,0,600798252,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-3.0,-0.3,1500.0,True,False,2026-06-06T21:29:15Z
S7,5,0,600798252,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1512.0,-3.0,-0.3,1512.0,True,False,2026-06-06T21:29:15Z
S7,5,1,1358512429,WSJT-X,CQ Q1ABC FN42,0.0,0.0,1500.0,-3.0,-0.7,1500.0,True,False,2026-06-06T21:29:45Z
S7,5,1,1358512429,WSJT-X,Q4XYZ Q1ABC -07,0.0,0.0,1512.0,-4.0,-0.7,1512.0,True,False,2026-06-06T21:29:45Z
